Code INS,Type d'entité,Entité administrative,Total population,Nombre d'hommes,Nombre de femmes,Part d'hommes,Part de femmes,Hommes de 0-17 ans,Hommes de 18-24 ans,Hommes de 25-49 ans,Hommes de 50-64 ans,Hommes de 65 ans +,Femmes de 0-17 ans,Femmes de 18-24 ans,Femmes de 25-49 ans,Femmes de 50-64 ans,Femmes de 65 ans +
25110,Commune,Waterloo,30389,14373,16016,47.3,52.7,2949,1348,3901,2986,3189,2785,1269,4265,3243,4454
25112,Commune,Wavre,35581,17198,18383,48.33,51.67,3401,1666,5333,3355,3443,3231,1440,5364,3680,4668
25117,Commune,Chastre,7813,3817,3996,48.85,51.15,839,363,1164,763,688,842,322,1207,813,812
25118,Commune,Hélécine,3894,1946,1948,49.97,50.03,430,174,646,388,308,416,158,647,380,347
25119,Commune,Lasne,14175,6888,7287,48.59,51.41,1304,678,1672,1638,1596,1240,675,1854,1718,1800
25120,Commune,Orp-Jauche,9092,4474,4618,49.21,50.79,974,366,1426,925,783,898,387,1401,997,935
25121,Commune,Ottignies-Louvain-la-Neuve,31766,15336,16430,48.28,51.72,2743,1743,5380,2704,2766,2657,1726,5169,3000,3878
25122,Commune,Ramillies,6710,3343,3367,49.82,50.18,741,275,1066,699,562,693,277,1055,672,670
25123,Commune,Rebecq,11185,5507,5678,49.24,50.76,1224,502,1698,1129,954,1207,399,1746,1157,1169
25124,Commune,Walhain,7556,3725,3831,49.3,50.7,822,398,1183,759,563,811,332,1234,739,715
50000,Province,Hainaut,1365328,666864,698464,48.84,51.16,139971,59554,215226,135139,116974,133355,56684,213078,137612,157735
51000,Arrondissement,Ath,130759,64280,66479,49.16,50.84,12799,5573,20402,13888,11618,12231,5250,20036,13880,15082
51004,Commune,Ath,30123,14582,15541,48.41,51.59,2735,1364,4634,3076,2773,2531,1296,4552,3348,3814
51008,Commune,Belœil,14232,7031,7201,49.4,50.6,1426,549,2371,1513,1172,1295,585,2364,1432,1525
51009,Commune,Bernissart,11894,5841,6053,49.11,50.89,1167,483,1930,1246,1015,1127,432,1941,1258,1295
51012,Commune,Brugelette,3878,1911,1967,49.28,50.72,450,178,642,366,275,402,135,701,368,361
51014,Commune,Chièvres,7145,3558,3587,49.8,50.2,787,303,1145,754,569,728,273,1129,752,705
51017,Commune,Ellezelles,5948,2988,2960,50.24,49.76,603,230,884,657,614,535,213,832,646,734
51019,Commune,Flobecq,3441,1737,1704,50.48,49.52,353,145,500,374,365,297,109,498,375,425
51065,Commune,Frasnes-lez-Anvaing,12256,6045,6211,49.32,50.68,1201,462,1921,1355,1106,1239,465,1826,1246,1435
51067,Commune,Enghien,14567,7103,7464,48.76,51.24,1452,675,2219,1511,1246,1412,625,2261,1507,1659
51068,Commune,Silly,8422,4185,4237,49.69,50.31,786,399,1204,947,849,767,355,1118,973,1024
51069,Commune,Lessines,18853,9299,9554,49.32,50.68,1839,785,2952,2089,1634,1898,762,2814,1975,2105
